Run # 1
Initial state: 0 0.0883917 0.461828 0.393259 0.86397 0.570302 0.878707 0.748889 0.944703 0.577541 0.457759 0.35987 0.166425 0.646428 0.525994 0.807429 0.998928 0.997959 0.531134 0.555272 0.876957 0.356475 0.197978 0.756633 0.406399 0.421058 0.662294 0.193882 0.107444 0.982978 0.549864 0.704773 0.836985 0.705662 0.835609 0.375661 0.920526 0.201806 0.622918 0.0814655 0.964593 0.913194 0.898469 0.419474 0.262509 0.121253 0.143979 0.368554 9.52752e-06 0.367251 0.123911 0.792621 0.778389 0.163177 0.512588 0.661119 0.0468116 0.86313 0.0607529 0.14296 0.000500847 0.961406 0.161275 0.18836 0.992558 0.891283 0.868859 0.206706 0.954636 0.77733 0.256951 0.983176 0.932491 0.768391 0.0215742 0.0841924 0.483918 0.712187 0.0760636 0.628701 0.0772807 0.324617 0.0572769 0.312868 0.692511 0.846486 0.379606 0.672205 0.0901498 0.87862 0.61869 0.772774 0.146283 0.206934 0.672781 0.683078 0.329113 0.496194 0.32489 0.47621 0.192375 0.730258 0.271123 0.892338 0.117273 0.209602 0.744573 0.394303 0.0423403 0.197188 0.991631 0.0442877 0.363162 0.995431 0.46654 0.8751 0.283324 0.436794 0.873747 0.306318 0.757812 0.707829 0.767302 0.407038 0.2205 0.726618 0.0688736 0.0711682 0.447162 0.886539 0.889387 0.985218 0.120065 0.0374903 0.978751 0.43323 0.160333 0.712271 0.315904 0.640891 0.333951 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 43, numVisits=3, meanQ=0.666667, numObservations: 3
action 1, numVisits=3, meanQ=0.666667, numObservations: 3
action 24, numVisits=3, meanQ=0.666667, numObservations: 3
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 5, numVisits=1, meanQ=-4.000000, numObservations: 1
action 2, numVisits=1, meanQ=-4.000000, numObservations: 1
action 60, numVisits=1, meanQ=-4.000000, numObservations: 1
action 37, numVisits=1, meanQ=-4.000000, numObservations: 1
action 38, numVisits=1, meanQ=-4.000000, numObservations: 1
action 7, numVisits=1, meanQ=-4.000000, numObservations: 1
action 40, numVisits=1, meanQ=-4.000000, numObservations: 1
action 41, numVisits=1, meanQ=-4.000000, numObservations: 1
action 42, numVisits=1, meanQ=-4.000000, numObservations: 1
action 6, numVisits=1, meanQ=-4.000000, numObservations: 1
action 34, numVisits=1, meanQ=-4.000000, numObservations: 1
action 45, numVisits=1, meanQ=-4.000000, numObservations: 1
action 58, numVisits=1, meanQ=-4.000000, numObservations: 1
action 4, numVisits=1, meanQ=-4.000000, numObservations: 1
action 48, numVisits=1, meanQ=-4.000000, numObservations: 1
action 49, numVisits=1, meanQ=-4.000000, numObservations: 1
action 50, numVisits=1, meanQ=-4.000000, numObservations: 1
action 3, numVisits=1, meanQ=-4.000000, numObservations: 1
action 65, numVisits=1, meanQ=-4.000000, numObservations: 1
action 69, numVisits=1, meanQ=-4.000000, numObservations: 1
action 67, numVisits=1, meanQ=-4.000000, numObservations: 1
action 66, numVisits=1, meanQ=-4.000000, numObservations: 1
action 20, numVisits=1, meanQ=-4.000000, numObservations: 1
action 21, numVisits=1, meanQ=-4.000000, numObservations: 1
action 22, numVisits=1, meanQ=-4.000000, numObservations: 1
action 10, numVisits=1, meanQ=-4.000000, numObservations: 1
action 25, numVisits=1, meanQ=-4.000000, numObservations: 1
action 15, numVisits=1, meanQ=-4.000000, numObservations: 1
action 63, numVisits=1, meanQ=-4.000000, numObservations: 1
action 29, numVisits=1, meanQ=-4.000000, numObservations: 1
action 30, numVisits=1, meanQ=-4.000000, numObservations: 1
action 31, numVisits=1, meanQ=-4.000000, numObservations: 1
action 8, numVisits=1, meanQ=-4.000000, numObservations: 1
action 62, numVisits=1, meanQ=-4.000000, numObservations: 1
action 70, numVisits=1, meanQ=-11.000000, numObservations: 1
action 57, numVisits=1, meanQ=-11.000000, numObservations: 1
action 61, numVisits=1, meanQ=-11.000000, numObservations: 1
action 64, numVisits=1, meanQ=-11.000000, numObservations: 1
action 54, numVisits=1, meanQ=-11.000000, numObservations: 1
action 53, numVisits=1, meanQ=-11.000000, numObservations: 1
action 52, numVisits=1, meanQ=-11.000000, numObservations: 1
action 46, numVisits=1, meanQ=-11.000000, numObservations: 1
action 44, numVisits=1, meanQ=-11.000000, numObservations: 1
action 36, numVisits=1, meanQ=-11.000000, numObservations: 1
action 35, numVisits=1, meanQ=-11.000000, numObservations: 1
action 33, numVisits=1, meanQ=-11.000000, numObservations: 1
action 28, numVisits=1, meanQ=-11.000000, numObservations: 1
action 27, numVisits=1, meanQ=-11.000000, numObservations: 1
