Run # 1
Initial state: 0 0.326957 0.229942 0.920824 0.43823 0.166494 0.499186 0.129649 0.584899 0.434955 0.69441 0.0433055 0.728776 0.539444 0.968119 0.853453 0.10422 0.949376 0.223002 0.00105039 0.604874 0.974729 0.265968 0.0320574 0.353138 0.835726 0.998568 0.958804 0.729353 0.43359 0.0263172 0.227229 0.501242 0.117987 0.313173 0.258336 0.27639 0.989774 0.325466 0.151508 0.837661 0.976771 0.891994 0.907563 0.280025 0.242735 0.885511 0.793412 0.206672 0.40857 0.752968 0.734083 0.762526 0.374385 0.125215 0.986013 0.779522 0.26733 0.991305 0.464273 0.549451 0.426801 0.421849 0.316186 0.345189 0.397509 0.870684 0.991306 0.975816 0.895802 0.996868 0.196809 0.61191 0.056268 0.118205 0.998024 0.520076 0.175591 0.677268 0.600767 0.0136356 w: 1

t = 0
Improving policy...
PLANNING FROM:
Next state: 0 0.326957 0.229942 0.920824 0.43823 0.166494 0.499186 0.129649 0.584899 0.434955 0.69441 0.0433055 0.728776 0.539444 0.968119 0.853453 0.10422 0.949376 0.223002 0.00105039 0.604874 0.974729 0.265968 0.0320574 0.353138 0.835726 0.998568 0.958804 0.729353 0.43359 0.0263172 0.227229 0.501242 0.117987 0.313173 0.258336 0.27639 0.989774 0.325466 0.151508 0.837661 0.976771 0.891994 0.907563 0.280025 0.242735 0.885511 0.793412 0.206672 0.40857 0.752968 0.734083 0.762526 0.374385 0.125215 0.986013 0.779522 0.26733 0.991305 0.464273 0.549451 0.426801 0.421849 0.316186 0.345189 0.397509 0.870684 0.991306 0.975816 0.895802 0.996868 0.196809 0.61191 0.056268 0.118205 0.998024 0.520076 0.175591 0.677268 0.600767 0.0136356 w: 1
Observation: 0 1 0 3 0 1 0 1 0 2 0 1 0 3 0 3 0 3 0 3 0 3 0 1 0 3 0 3 0 2 0 1 0 3 0 1 0 3 0 1 0 3 0 3 0 1 0 3 0 2 0 3 0 2 0 3 0 1 0 2 0 1 0 2 0 2 0 3 0 2 0 1 0 1 0 3 0 3 0 3 0 
Immediate reward: -2
Updated belief

t = 1
Improving policy...
PLANNING FROM:
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 187132 episodes
GETTING ACTION FROM:
action 10, numVisits=187066, meanQ=60.021462, numObservations: 9
action 18, numVisits=7, meanQ=39.282857, numObservations: 3
action 32, numVisits=5, meanQ=37.198000, numObservations: 3
action 22, numVisits=3, meanQ=32.333333, numObservations: 2
action 2, numVisits=3, meanQ=32.333333, numObservations: 2
action 4, numVisits=3, meanQ=32.333333, numObservations: 2
action 6, numVisits=6, meanQ=32.333333, numObservations: 3
action 26, numVisits=3, meanQ=22.693367, numObservations: 2
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action 12, numVisits=3, meanQ=-4.003333, numObservations: 3
action 33, numVisits=1, meanQ=-10.010000, numObservations: 1
action 34, numVisits=1, meanQ=-10.010000, numObservations: 1
action 36, numVisits=1, meanQ=-10.010000, numObservations: 1
action 31, numVisits=1, meanQ=-10.010000, numObservations: 1
action 30, numVisits=1, meanQ=-10.010000, numObservations: 1
action 29, numVisits=1, meanQ=-10.010000, numObservations: 1
action 27, numVisits=1, meanQ=-10.010000, numObservations: 1
action 37, numVisits=1, meanQ=-10.010000, numObservations: 1
action 23, numVisits=1, meanQ=-10.010000, numObservations: 1
action 39, numVisits=1, meanQ=-10.010000, numObservations: 1
action 20, numVisits=1, meanQ=-10.010000, numObservations: 1
action 19, numVisits=1, meanQ=-10.010000, numObservations: 1
action 1, numVisits=1, meanQ=-10.010000, numObservations: 1
action 5, numVisits=1, meanQ=-10.010000, numObservations: 1
action 40, numVisits=1, meanQ=-101.000000, numObservations: 1
action 21, numVisits=1, meanQ=-101.000000, numObservations: 1
action 38, numVisits=1, meanQ=-101.000000, numObservations: 1
action 3, numVisits=1, meanQ=-101.000000, numObservations: 1
action 35, numVisits=1, meanQ=-101.000000, numObservations: 1
action 7, numVisits=1, meanQ=-101.000000, numObservations: 1
action 8, numVisits=1, meanQ=-101.000000, numObservations: 1
action 9, numVisits=1, meanQ=-101.000000, numObservations: 1
action 11, numVisits=1, meanQ=-101.000000, numObservations: 1
action 13, numVisits=1, meanQ=-101.000000, numObservations: 1
action 14, numVisits=1, meanQ=-101.000000, numObservations: 1
action 28, numVisits=1, meanQ=-101.000000, numObservations: 1
action 15, numVisits=1, meanQ=-101.000000, numObservations: 1
action 16, numVisits=1, meanQ=-101.000000, numObservations: 1
action 25, numVisits=1, meanQ=-101.000000, numObservations: 1
action 24, numVisits=1, meanQ=-101.000000, numObservations: 1
action 17, numVisits=1, meanQ=-101.000000, numObservations: 1
action: 10
Next state: 0 0.326957 0.229942 0.920824 0.43823 0.166494 0.499186 0.129649 0.584899 0.434955 0.69441 0.0433055 0.728776 0.539444 0.968119 0.853453 0.10422 0.949376 0.223002 0.00105039 0.604874 0.974729 0.265968 0.0320574 0.353138 0.835726 0.998568 0.958804 0.729353 0.43359 0.0263172 0.227229 0.501242 0.117987 0.313173 0.258336 0.27639 0.989774 0.325466 0.151508 0.837661 0.976771 0.891994 0.907563 0.280025 0.242735 0.885511 0.793412 0.206672 0.40857 0.752968 0.734083 0.762526 0.374385 0.125215 0.986013 0.779522 0.26733 0.991305 0.464273 0.549451 0.426801 0.421849 0.316186 0.345189 0.397509 0.870684 0.991306 0.975816 0.895802 0.996868 0.196809 0.61191 0.056268 0.118205 0.998024 0.520076 0.175591 0.677268 0.600767 0.0136356 w: 1
Observation: 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Immediate reward: -11
Updated belief

t = 2
Improving policy...
PLANNING FROM:
action 24, numVisits=2350, meanQ=66.527353, numObservations: 9
action 3, numVisits=9, meanQ=51.443333, numObservations: 3
action 16, numVisits=9, meanQ=51.221111, numObservations: 4
action 39, numVisits=10, meanQ=48.099000, numObservations: 5
action 22, numVisits=2, meanQ=44.495000, numObservations: 2
action 2, numVisits=2, meanQ=-1.000000, numObservations: 1
action 14, numVisits=2, meanQ=-1.000000, numObservations: 2
action 6, numVisits=2, meanQ=-1.000000, numObservations: 2
action 13, numVisits=2, meanQ=-1.000000, numObservations: 1
action 30, numVisits=2, meanQ=-1.000000, numObservations: 2
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 26, numVisits=1, meanQ=-10.010000, numObservations: 1
action 25, numVisits=1, meanQ=-10.010000, numObservations: 1
action 33, numVisits=1, meanQ=-10.010000, numObservations: 1
action 34, numVisits=1, meanQ=-10.010000, numObservations: 1
action 36, numVisits=1, meanQ=-10.010000, numObservations: 1
action 23, numVisits=1, meanQ=-10.010000, numObservations: 1
action 40, numVisits=1, meanQ=-10.010000, numObservations: 1
action 20, numVisits=1, meanQ=-10.010000, numObservations: 1
action 4, numVisits=1, meanQ=-10.010000, numObservations: 1
action 15, numVisits=1, meanQ=-10.010000, numObservations: 1
action 12, numVisits=1, meanQ=-10.010000, numObservations: 1
action 5, numVisits=1, meanQ=-10.010000, numObservations: 1
action 9, numVisits=1, meanQ=-101.000000, numObservations: 1
action 1, numVisits=1, meanQ=-101.000000, numObservations: 1
action 38, numVisits=1, meanQ=-101.000000, numObservations: 1
action 37, numVisits=1, meanQ=-101.000000, numObservations: 1
action 35, numVisits=1, meanQ=-101.000000, numObservations: 1
action 7, numVisits=1, meanQ=-101.000000, numObservations: 1
action 8, numVisits=1, meanQ=-101.000000, numObservations: 1
action 32, numVisits=1, meanQ=-101.000000, numObservations: 1
action 31, numVisits=1, meanQ=-101.000000, numObservations: 1
action 19, numVisits=1, meanQ=-101.000000, numObservations: 1
action 29, numVisits=1, meanQ=-101.000000, numObservations: 1
action 28, numVisits=1, meanQ=-101.000000, numObservations: 1
action 27, numVisits=1, meanQ=-101.000000, numObservations: 1
action 10, numVisits=1, meanQ=-101.000000, numObservations: 1
action 11, numVisits=1, meanQ=-101.000000, numObservations: 1
action 17, numVisits=1, meanQ=-101.000000, numObservations: 1
action 21, numVisits=1, meanQ=-101.000000, numObservations: 1
action 18, numVisits=1, meanQ=-101.000000, numObservations: 1
Sampled 230143 episodes
GETTING ACTION FROM:
action 24, numVisits=232493, meanQ=68.847713, numObservations: 9
action 3, numVisits=9, meanQ=51.443333, numObservations: 3
action 16, numVisits=9, meanQ=51.221111, numObservations: 4
action 39, numVisits=10, meanQ=48.099000, numObservations: 5
action 22, numVisits=2, meanQ=44.495000, numObservations: 2
action 2, numVisits=2, meanQ=-1.000000, numObservations: 1
action 14, numVisits=2, meanQ=-1.000000, numObservations: 2
action 6, numVisits=2, meanQ=-1.000000, numObservations: 2
action 13, numVisits=2, meanQ=-1.000000, numObservations: 1
action 30, numVisits=2, meanQ=-1.000000, numObservations: 2
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 26, numVisits=1, meanQ=-10.010000, numObservations: 1
action 25, numVisits=1, meanQ=-10.010000, numObservations: 1
action 33, numVisits=1, meanQ=-10.010000, numObservations: 1
action 34, numVisits=1, meanQ=-10.010000, numObservations: 1
action 36, numVisits=1, meanQ=-10.010000, numObservations: 1
action 23, numVisits=1, meanQ=-10.010000, numObservations: 1
action 40, numVisits=1, meanQ=-10.010000, numObservations: 1
action 20, numVisits=1, meanQ=-10.010000, numObservations: 1
action 4, numVisits=1, meanQ=-10.010000, numObservations: 1
action 15, numVisits=1, meanQ=-10.010000, numObservations: 1
action 12, numVisits=1, meanQ=-10.010000, numObservations: 1
action 5, numVisits=1, meanQ=-10.010000, numObservations: 1
action 9, numVisits=1, meanQ=-101.000000, numObservations: 1
action 1, numVisits=1, meanQ=-101.000000, numObservations: 1
action 38, numVisits=1, meanQ=-101.000000, numObservations: 1
action 37, numVisits=1, meanQ=-101.000000, numObservations: 1
action 35, numVisits=1, meanQ=-101.000000, numObservations: 1
action 7, numVisits=1, meanQ=-101.000000, numObservations: 1
action 8, numVisits=1, meanQ=-101.000000, numObservations: 1
action 32, numVisits=1, meanQ=-101.000000, numObservations: 1
action 31, numVisits=1, meanQ=-101.000000, numObservations: 1
action 19, numVisits=1, meanQ=-101.000000, numObservations: 1
action 29, numVisits=1, meanQ=-101.000000, numObservations: 1
action 28, numVisits=1, meanQ=-101.000000, numObservations: 1
action 27, numVisits=1, meanQ=-101.000000, numObservations: 1
action 10, numVisits=1, meanQ=-101.000000, numObservations: 1
action 11, numVisits=1, meanQ=-101.000000, numObservations: 1
action 17, numVisits=1, meanQ=-101.000000, numObservations: 1
action 21, numVisits=1, meanQ=-101.000000, numObservations: 1
action 18, numVisits=1, meanQ=-101.000000, numObservations: 1
action: 24
Next state: 0 0.326957 0.229942 0.920824 0.43823 0.166494 0.499186 0.129649 0.584899 0.434955 0.69441 0.0433055 0.728776 0.539444 0.968119 0.853453 0.10422 0.949376 0.223002 0.00105039 0.604874 0.974729 0.265968 0.0320574 0.353138 0.835726 0.998568 0.958804 0.729353 0.43359 0.0263172 0.227229 0.501242 0.117987 0.313173 0.258336 0.27639 0.989774 0.325466 0.151508 0.837661 0.976771 0.891994 0.907563 0.280025 0.242735 0.885511 0.793412 0.206672 0.40857 0.752968 0.734083 0.762526 0.374385 0.125215 0.986013 0.779522 0.26733 0.991305 0.464273 0.549451 0.426801 0.421849 0.316186 0.345189 0.397509 0.870684 0.991306 0.975816 0.895802 0.996868 0.196809 0.61191 0.056268 0.118205 0.998024 0.520076 0.175591 0.677268 0.600767 0.0136356 w: 1
Observation: 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Immediate reward: -11
Updated belief

t = 3
Improving policy...
PLANNING FROM:
action 38, numVisits=1, meanQ=99.000000, numObservations: 1
action 34, numVisits=1, meanQ=99.000000, numObservations: 1
action 21, numVisits=1, meanQ=-10.010000, numObservations: 1
action 20, numVisits=1, meanQ=-10.010000, numObservations: 1
action 5, numVisits=1, meanQ=-10.010000, numObservations: 1
action 28, numVisits=1, meanQ=-10.010000, numObservations: 1
action 23, numVisits=1, meanQ=-101.000000, numObservations: 1
action 36, numVisits=1, meanQ=-101.000000, numObservations: 1
action 35, numVisits=1, meanQ=-101.000000, numObservations: 1
action 8, numVisits=1, meanQ=-101.000000, numObservations: 1
action 24, numVisits=1, meanQ=-101.000000, numObservations: 1
action 18, numVisits=1, meanQ=-101.000000, numObservations: 1
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 224172 episodes
GETTING ACTION FROM:
action 32, numVisits=224074, meanQ=26.485466, numObservations: 9
action 14, numVisits=33, meanQ=20.212121, numObservations: 6
action 3, numVisits=10, meanQ=19.000000, numObservations: 5
action 22, numVisits=5, meanQ=19.000000, numObservations: 3
action 9, numVisits=5, meanQ=19.000000, numObservations: 3
action 15, numVisits=9, meanQ=10.111111, numObservations: 3
action 19, numVisits=2, meanQ=-1.000000, numObservations: 2
action 16, numVisits=2, meanQ=-1.000000, numObservations: 2
action 25, numVisits=2, meanQ=-1.000000, numObservations: 2
action 33, numVisits=2, meanQ=-1.000000, numObservations: 2
action 7, numVisits=2, meanQ=-1.000000, numObservations: 2
action 6, numVisits=4, meanQ=-1.000000, numObservations: 4
action 34, numVisits=2, meanQ=-1.000000, numObservations: 2
action 4, numVisits=2, meanQ=-1.000000, numObservations: 2
action 38, numVisits=2, meanQ=-1.000000, numObservations: 2
action 1, numVisits=2, meanQ=-1.000000, numObservations: 1
action 0, numVisits=1, meanQ=-2.000000, numObservations: 1
action -1, numVisits=1, meanQ=-2.000000, numObservations: 1
action 28, numVisits=1, meanQ=-10.010000, numObservations: 1
action 21, numVisits=1, meanQ=-10.010000, numObservations: 1
action 20, numVisits=1, meanQ=-10.010000, numObservations: 1
action 5, numVisits=1, meanQ=-10.010000, numObservations: 1
action 30, numVisits=1, meanQ=-101.000000, numObservations: 1
action 40, numVisits=1, meanQ=-101.000000, numObservations: 1
action 39, numVisits=1, meanQ=-101.000000, numObservations: 1
action 2, numVisits=1, meanQ=-101.000000, numObservations: 1
action 37, numVisits=1, meanQ=-101.000000, numObservations: 1
action 36, numVisits=1, meanQ=-101.000000, numObservations: 1
action 35, numVisits=1, meanQ=-101.000000, numObservations: 1
action 8, numVisits=1, meanQ=-101.000000, numObservations: 1
action 10, numVisits=1, meanQ=-101.000000, numObservations: 1
action 31, numVisits=1, meanQ=-101.000000, numObservations: 1
action 18, numVisits=1, meanQ=-101.000000, numObservations: 1
action 29, numVisits=1, meanQ=-101.000000, numObservations: 1
action 11, numVisits=1, meanQ=-101.000000, numObservations: 1
action 27, numVisits=1, meanQ=-101.000000, numObservations: 1
action 26, numVisits=1, meanQ=-101.000000, numObservations: 1
action 12, numVisits=1, meanQ=-101.000000, numObservations: 1
action 24, numVisits=1, meanQ=-101.000000, numObservations: 1
action 23, numVisits=1, meanQ=-101.000000, numObservations: 1
action 13, numVisits=1, meanQ=-101.000000, numObservations: 1
action 17, numVisits=1, meanQ=-101.000000, numObservations: 1
action: 32
Next state: 0 0.326957 0.229942 0.920824 0.43823 0.166494 0.499186 0.129649 0.584899 0.434955 0.69441 0.0433055 0.728776 0.539444 0.968119 0.853453 0.10422 0.949376 0.223002 0.00105039 0.604874 0.974729 0.265968 0.0320574 0.353138 0.835726 0.998568 0.958804 0.729353 0.43359 0.0263172 0.227229 0.501242 0.117987 0.313173 0.258336 0.27639 0.989774 0.325466 0.151508 0.837661 0.976771 0.891994 0.907563 0.280025 0.242735 0.885511 0.793412 0.206672 0.40857 0.752968 0.734083 0.762526 0.374385 0.125215 0.986013 0.779522 0.26733 0.991305 0.464273 0.549451 0.426801 0.421849 0.316186 0.345189 0.397509 0.870684 0.991306 0.975816 0.895802 0.996868 0.196809 0.61191 0.056268 0.118205 0.998024 0.520076 0.175591 0.677268 0.600767 0.0136356 w: 1
Observation: 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Immediate reward: -11
Updated belief

t = 4
Improving policy...
PLANNING FROM:
action 15, numVisits=1, meanQ=99.000000, numObservations: 1
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
