Run # 1
Initial state: 0 0.259603 0.322196 0.938945 0.219424 0.895986 0.949795 0.661351 0.429614 0.487941 0.619973 0.419982 0.65361 0.115396 0.0673133 0.235825 0.80556 0.922835 0.796483 0.679656 0.387099 0.960982 0.985864 0.234489 0.631843 0.188683 0.928802 0.142087 0.319642 0.978112 0.472899 0.435598 0.929811 0.767279 0.064872 0.0778234 0.371609 0.169426 0.323224 0.878471 0.575578 0.760089 0.331358 0.806671 0.396542 0.238166 0.901224 0.100134 0.646321 0.767451 0.00102747 0.935521 0.0851642 0.151146 0.754398 0.836721 0.904021 0.702762 0.802698 0.325455 0.658491 0.706842 0.288625 0.326155 0.653416 0.0195638 0.466513 0.788514 0.46805 0.757237 0.267311 0.198313 0.134474 0.296698 0.817145 0.122269 0.970509 0.289087 0.552346 0.0768325 0.102898 0.109721 0.985126 0.341654 0.0292096 0.942849 0.0636498 0.641526 0.223263 0.818174 0.641282 0.384587 0.681201 0.932885 0.701836 0.318841 0.837113 0.249164 0.170963 0.342057 0.290847 0.334021 0.477288 0.993043 0.858527 0.070444 0.269005 0.560666 0.850513 0.910136 0.0305698 0.16937 0.24832 0.917896 0.357678 0.478458 0.000794618 0.0799693 0.549427 0.452966 0.814759 0.105062 0.360532 0.830738 0.672506 0.278753 0.764692 0.441228 0.335878 0.0282631 0.0967374 0.583946 0.947401 3.44104e-05 0.372613 0.364212 0.208033 0.0588197 0.79223 0.865168 0.761722 0.783641 0.535214 0.180167 0.996214 0.388682 0.196374 0.53595 0.0576456 0.317973 0.170134 0.414258 0.515871 0.185549 0.461548 0.229299 0.901113 0.56817 0.793123 0.723548 0.00606045 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 14923 episodes
GETTING ACTION FROM:
action 2, numVisits=14728, meanQ=6.568443, numObservations: 9
action 35, numVisits=20, meanQ=4.490020, numObservations: 6
action 77, numVisits=13, meanQ=4.305385, numObservations: 6
action 28, numVisits=18, meanQ=4.158339, numObservations: 7
action 59, numVisits=8, meanQ=4.122500, numObservations: 6
action 48, numVisits=8, meanQ=4.095013, numObservations: 5
action 7, numVisits=9, meanQ=3.782256, numObservations: 4
action 42, numVisits=7, meanQ=3.010000, numObservations: 6
action 71, numVisits=7, meanQ=2.998586, numObservations: 5
action 29, numVisits=9, meanQ=2.888900, numObservations: 4
action 44, numVisits=4, meanQ=1.745000, numObservations: 3
action 39, numVisits=4, meanQ=1.745000, numObservations: 3
action 67, numVisits=4, meanQ=0.772500, numObservations: 3
action 56, numVisits=4, meanQ=0.752525, numObservations: 3
action 50, numVisits=6, meanQ=0.701667, numObservations: 3
action 73, numVisits=3, meanQ=0.666667, numObservations: 3
action 34, numVisits=3, meanQ=0.666667, numObservations: 3
action 60, numVisits=4, meanQ=-0.252500, numObservations: 3
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action 64, numVisits=1, meanQ=-3.010000, numObservations: 1
action 38, numVisits=1, meanQ=-3.010000, numObservations: 1
action 40, numVisits=1, meanQ=-3.010000, numObservations: 1
action 78, numVisits=1, meanQ=-3.010000, numObservations: 1
action 76, numVisits=1, meanQ=-3.010000, numObservations: 1
action 74, numVisits=1, meanQ=-3.010000, numObservations: 1
action 41, numVisits=1, meanQ=-3.010000, numObservations: 1
action 70, numVisits=1, meanQ=-3.010000, numObservations: 1
action 43, numVisits=1, meanQ=-3.010000, numObservations: 1
action 69, numVisits=1, meanQ=-3.010000, numObservations: 1
action 55, numVisits=1, meanQ=-3.010000, numObservations: 1
action 62, numVisits=1, meanQ=-3.010000, numObservations: 1
action 45, numVisits=1, meanQ=-3.010000, numObservations: 1
action 46, numVisits=1, meanQ=-3.010000, numObservations: 1
action 61, numVisits=1, meanQ=-3.010000, numObservations: 1
action 58, numVisits=1, meanQ=-3.010000, numObservations: 1
action 51, numVisits=1, meanQ=-3.010000, numObservations: 1
action 52, numVisits=1, meanQ=-3.010000, numObservations: 1
action 53, numVisits=1, meanQ=-3.010000, numObservations: 1
action 36, numVisits=1, meanQ=-3.010000, numObservations: 1
action 3, numVisits=1, meanQ=-3.010000, numObservations: 1
action 6, numVisits=1, meanQ=-3.010000, numObservations: 1
action 8, numVisits=1, meanQ=-3.010000, numObservations: 1
action 11, numVisits=1, meanQ=-3.010000, numObservations: 1
action 12, numVisits=1, meanQ=-3.010000, numObservations: 1
action 13, numVisits=1, meanQ=-3.010000, numObservations: 1
action 14, numVisits=1, meanQ=-3.010000, numObservations: 1
action 15, numVisits=1, meanQ=-3.010000, numObservations: 1
action 16, numVisits=1, meanQ=-3.010000, numObservations: 1
action 17, numVisits=1, meanQ=-3.010000, numObservations: 1
action 18, numVisits=1, meanQ=-3.010000, numObservations: 1
action 19, numVisits=1, meanQ=-3.010000, numObservations: 1
action 31, numVisits=1, meanQ=-3.010000, numObservations: 1
action 32, numVisits=1, meanQ=-3.010000, numObservations: 1
action 23, numVisits=1, meanQ=-3.010000, numObservations: 1
action 33, numVisits=1, meanQ=-3.010000, numObservations: 1
action 24, numVisits=1, meanQ=-3.010000, numObservations: 1
action 25, numVisits=1, meanQ=-3.010000, numObservations: 1
action 26, numVisits=1, meanQ=-3.010000, numObservations: 1
action 27, numVisits=1, meanQ=-3.010000, numObservations: 1
action 9, numVisits=1, meanQ=-11.000000, numObservations: 1
action 66, numVisits=1, meanQ=-11.000000, numObservations: 1
action 72, numVisits=1, meanQ=-11.000000, numObservations: 1
action 5, numVisits=1, meanQ=-11.000000, numObservations: 1
action 75, numVisits=1, meanQ=-11.000000, numObservations: 1
action 4, numVisits=1, meanQ=-11.000000, numObservations: 1
action 37, numVisits=1, meanQ=-11.000000, numObservations: 1
action 1, numVisits=1, meanQ=-11.000000, numObservations: 1
action 79, numVisits=1, meanQ=-11.000000, numObservations: 1
action 80, numVisits=1, meanQ=-11.000000, numObservations: 1
action 10, numVisits=1, meanQ=-11.000000, numObservations: 1
action 68, numVisits=1, meanQ=-11.000000, numObservations: 1
